t,pre,post,drop_pct,since_prev_s,recovery_s,r1_drop,r2_ping,r3_slow,anomalous
2021-10-18 07:25:10+00:00,,202.71162500000003,,inf,1800.0,0,0,1,1
2021-10-18 07:26:00+00:00,172.39683,214.25815,-0.2428195460438571,50.0,0.0,0,0,0,0
2021-10-18 07:34:30+00:00,222.83704999999998,233.33442777777776,-0.047107865490849866,510.0,0.0,0,0,0,0
2021-10-18 07:38:50+00:00,226.48209166666663,220.2414,0.02755490123188902,260.0,0.0,0,0,0,0
2021-10-18 07:58:30+00:00,231.24749166666666,237.83602222222225,-0.02849125198318984,1180.0,0.0,0,0,0,0
2021-10-18 08:01:50+00:00,236.51181666666665,228.39066111111111,0.034337208474455504,200.0,0.0,0,1,0,1
2021-10-18 08:22:30+00:00,229.62970833333335,242.66499444444446,-0.05676654909211016,1240.0,0.0,0,0,0,0
2021-10-18 08:28:40+00:00,219.48403333333337,228.67445555555554,-0.04187285098895804,370.0,0.0,0,0,0,0
2021-10-18 08:46:30+00:00,234.45000833333336,237.42583888888885,-0.012692814884973478,1070.0,0.0,0,0,0,0
2021-10-18 08:49:50+00:00,234.3762833333333,229.95211666666668,0.018876341085989953,200.0,0.0,0,1,0,1
2021-10-18 09:10:40+00:00,222.9326333333333,232.4490777777778,-0.04268753435579488,1250.0,0.0,0,0,0,0
2021-10-18 09:14:40+00:00,224.98156666666668,221.1727833333333,0.01692931287555869,240.0,0.0,0,0,0,0
2021-10-18 09:34:30+00:00,224.99236666666673,232.88602222222224,-0.0350841038409548,1190.0,0.0,0,0,0,0
2021-10-18 09:37:10+00:00,233.0805583333333,225.06296666666668,0.03439837163595814,160.0,0.0,0,1,0,1
2021-10-18 09:58:30+00:00,225.00208333333333,236.81667777777778,-0.05250882244917489,1280.0,0.0,0,0,0,0
2021-10-18 10:11:10+00:00,221.538875,221.59212222222223,-0.00024035159618030717,760.0,0.0,0,0,0,0
2021-10-18 10:22:20+00:00,228.45361666666665,227.53115000000003,0.004037872895715983,670.0,0.0,0,0,0,0
2021-10-18 10:25:20+00:00,232.44863333333333,230.91501111111114,0.006597682250181117,180.0,0.0,0,0,0,0
2021-10-18 10:46:30+00:00,225.52086666666665,234.45294444444446,-0.03960643602429904,1270.0,0.0,0,0,0,0
2021-10-18 10:51:40+00:00,223.84234166666667,219.73463333333336,0.01835089957846435,310.0,0.0,0,0,0,0
2021-10-18 11:10:30+00:00,225.29069166666667,230.73388333333338,-0.024160748171168513,1130.0,0.0,0,0,0,0
2021-10-18 11:13:20+00:00,228.57166666666672,228.08488333333332,0.0021296748649222716,170.0,0.0,0,0,0,0
2021-10-18 11:34:30+00:00,213.91086666666664,231.53326111111113,-0.08238195057152074,1270.0,0.0,0,0,0,0
2021-10-18 11:39:50+00:00,219.94944999999996,213.67732777777778,0.028516198709395185,320.0,0.0,0,0,0,0
2021-10-18 11:58:30+00:00,227.66530833333334,230.91287222222223,-0.014264640988402195,1120.0,0.0,0,0,0,0
2021-10-18 12:01:10+00:00,235.09152500000002,229.95624444444445,0.021843750239637805,160.0,0.0,0,1,0,1
2021-10-18 12:22:30+00:00,221.96778333333336,231.65481666666665,-0.04364161856221307,1280.0,0.0,0,0,0,0
2021-10-18 12:27:40+00:00,220.83725833333332,208.3387166666667,0.056596163894596256,310.0,0.0,1,0,0,1
2021-10-18 12:34:00+00:00,219.74211666666665,214.09397222222228,0.02570351341892373,380.0,0.0,0,0,0,0
2021-10-18 12:35:10+00:00,215.78373333333334,214.94767777777778,0.00387450686222051,70.0,0.0,0,0,0,0
2021-10-18 12:46:30+00:00,226.2252666666667,230.0733277777778,-0.017009864405557525,680.0,0.0,0,0,0,0
2021-10-18 12:49:50+00:00,232.398625,225.46945,0.029815903600978768,200.0,0.0,0,1,0,1
2021-10-18 13:10:30+00:00,223.68030833333333,232.30843888888887,-0.03857349187259575,1240.0,0.0,0,0,0,0
2021-10-18 13:14:30+00:00,225.28430833333337,218.57508333333334,0.029781146541609023,240.0,0.0,0,0,0,0
2021-10-18 13:34:30+00:00,220.99585000000002,227.57015555555557,-0.029748547565737336,1200.0,0.0,0,0,0,0
2021-10-18 13:38:30+00:00,219.8399916666667,210.38742222222223,0.042997497283283025,240.0,0.0,1,0,0,1
2021-10-18 13:58:30+00:00,225.50836666666666,236.8238055555556,-0.05017746816292079,1200.0,0.0,0,0,0,0
2021-10-18 14:02:30+00:00,234.81415833333332,229.07359444444444,0.024447264720467998,240.0,0.0,0,0,0,0
2021-10-18 14:22:30+00:00,229.78126666666665,236.21641666666665,-0.028005546724290523,1200.0,0.0,0,0,0,0
2021-10-18 14:25:50+00:00,231.88406666666666,228.0354555555556,0.01659713479427393,200.0,0.0,0,1,0,1
2021-10-18 14:46:30+00:00,230.30124166666667,234.51067777777774,-0.018277956647770602,1240.0,0.0,0,0,0,0
2021-10-18 14:48:50+00:00,235.91183333333336,229.0098611111111,0.029256574902158796,140.0,0.0,0,1,0,1
2021-10-18 15:10:30+00:00,221.19070000000002,227.81305,-0.02993954989970185,1300.0,0.0,0,0,0,0
2021-10-18 15:16:00+00:00,211.04234166666666,212.1578888888889,-0.0052858929322543114,330.0,0.0,0,0,0,0
2021-10-18 15:34:30+00:00,221.20615,229.36806111111113,-0.036897306476836755,1110.0,0.0,0,0,0,0
2021-10-18 15:38:40+00:00,221.86454999999998,218.48743333333334,0.015221524424098567,250.0,0.0,0,0,0,0
2021-10-18 15:56:30+00:00,211.12750833333334,217.77405,-0.03148117324518852,1070.0,0.0,0,0,0,0
2021-10-18 15:57:30+00:00,210.22654166666663,224.82590555555558,-0.06944586431925218,60.0,0.0,0,0,0,0
2021-10-18 15:58:30+00:00,213.15695000000002,226.95600555555555,-0.06473659693270863,60.0,0.0,0,0,0,0
2021-10-18 16:04:10+00:00,220.9075,215.54362777777774,0.024281077927287464,340.0,0.0,0,0,0,0
2021-10-18 16:22:10+00:00,229.41312499999995,235.54545555555558,-0.026730513154186918,1080.0,0.0,0,0,0,0
2021-10-18 16:26:30+00:00,235.95069999999998,231.6341555555556,0.01829426420198961,260.0,0.0,0,0,0,0
2021-10-18 16:46:30+00:00,224.87154166666664,229.40316111111113,-0.020152036184115433,1200.0,0.0,0,0,0,0
2021-10-18 16:50:10+00:00,220.7759583333333,215.27443333333335,0.024919040286504438,220.0,0.0,0,1,0,1
2021-10-18 17:34:30+00:00,221.34415833333333,230.52085,-0.04145892864652442,2660.0,0.0,0,0,0,0
2021-10-18 17:38:50+00:00,223.28194166666665,216.1991,0.03172151591748743,260.0,0.0,0,0,0,0
2021-10-18 17:58:30+00:00,221.78488333333334,236.2368777777778,-0.06516221586988744,1180.0,0.0,0,0,0,0
2021-10-18 18:03:20+00:00,228.1869833333334,226.55269444444443,0.0071620601009550425,290.0,0.0,0,0,0,0
2021-10-18 18:22:30+00:00,223.88888333333333,227.90935000000002,-0.01795741980043237,1150.0,0.0,0,0,0,0
2021-10-18 18:26:40+00:00,218.65441666666666,213.97555,0.0213984548677079,250.0,0.0,0,0,0,0
2021-10-18 18:46:30+00:00,225.85319166666662,236.32268888888893,-0.04635532110466737,1190.0,0.0,0,0,0,0
2021-10-18 18:50:40+00:00,235.06305833333337,231.05613333333335,0.01704617062506677,250.0,0.0,0,0,0,0
2021-10-18 19:10:30+00:00,220.32553333333337,230.02167777777777,-0.04400826494210717,1190.0,0.0,0,0,0,0
2021-10-18 19:15:00+00:00,221.84165833333336,215.55231111111112,0.02835061398960527,270.0,0.0,0,0,0,0
2021-10-18 19:34:30+00:00,222.15278333333336,225.28399444444446,-0.014094854289594087,1170.0,0.0,0,0,0,0
2021-10-18 19:38:50+00:00,226.53333333333333,219.75924444444445,0.02990327643711985,260.0,0.0,0,0,0,0
2021-10-18 19:58:30+00:00,229.96708333333333,235.9920111111111,-0.02619908767136359,1180.0,0.0,0,0,0,0
2021-10-18 20:04:40+00:00,220.06680000000003,225.2273222222222,-0.02344979898022859,370.0,0.0,0,0,0,0
2021-10-18 20:22:30+00:00,226.05123333333336,239.58323333333334,-0.05986253558743385,1070.0,0.0,0,0,0,0
2021-10-18 20:27:40+00:00,231.6192166666667,228.66064444444444,0.012773431603820915,310.0,0.0,0,0,0,0
