Kp,ap
2.333,9.0
3.0,15.0
2.0,7.0
2.667,12.0
1.667,6.0
2.667,12.0
3.667,22.0
4.0,27.0
2.0,7.0
2.0,7.0
1.0,4.0
1.667,6.0
1.333,5.0
1.333,5.0
2.0,7.0
3.0,15.0
1.333,5.0
0.333,2.0
0.667,3.0
0.333,2.0
1.0,4.0
2.0,7.0
2.333,9.0
2.667,12.0
4.0,27.0
4.667,39.0
4.333,32.0
3.333,18.0
3.333,18.0
2.0,7.0
1.667,6.0
0.667,3.0
0.333,2.0
0.667,3.0
1.0,4.0
1.333,5.0
2.667,12.0
3.0,15.0
2.667,12.0
2.667,12.0
1.0,4.0
0.333,2.0
0.333,2.0
0.667,3.0
1.0,4.0
0.333,2.0
1.333,5.0
1.333,5.0
1.0,4.0
2.333,9.0
1.0,4.0
0.333,2.0
0.333,2.0
2.667,12.0
2.333,9.0
0.333,2.0
2.0,7.0
2.333,9.0
2.0,7.0
1.667,6.0
3.0,15.0
1.333,5.0
1.0,4.0
0.667,3.0
1.667,6.0
0.333,2.0
0.333,2.0
1.0,4.0
0.667,3.0
1.667,6.0
2.0,7.0
1.333,5.0
0.667,3.0
0.667,3.0
0.667,3.0
0.667,3.0
2.0,7.0
3.0,15.0
1.667,6.0
2.0,7.0
1.667,6.0
2.667,12.0
1.667,6.0
1.667,6.0
1.0,4.0
2.0,7.0
2.333,9.0
2.333,9.0
3.0,15.0
2.0,7.0
2.0,7.0
1.667,6.0
2.0,7.0
2.0,7.0
1.667,6.0
3.0,15.0
2.333,9.0
1.667,6.0
2.0,7.0
2.333,9.0
2.333,9.0
1.667,6.0
3.333,18.0
4.0,27.0
3.0,15.0
3.333,18.0
2.333,9.0
1.667,6.0
0.667,3.0
1.0,4.0
1.667,6.0
2.667,12.0
4.667,39.0
3.667,22.0
3.667,22.0
3.667,22.0
3.667,22.0
3.667,22.0
4.0,27.0
5.0,48.0
4.0,27.0
1.667,6.0
3.0,15.0
3.0,15.0
3.333,18.0
3.333,18.0
1.667,6.0
0.667,3.0
0.0,0.0
1.667,6.0
1.667,6.0
1.0,4.0
1.0,4.0
0.333,2.0
0.0,0.0
3.333,18.0
4.0,27.0
4.0,27.0
3.333,18.0
2.667,12.0
2.667,12.0
2.333,9.0
1.667,6.0
0.667,3.0
0.0,0.0
1.0,4.0
2.667,12.0
2.667,12.0
2.333,9.0
0.333,2.0
0.667,3.0
1.333,5.0
1.0,4.0
1.0,4.0
0.0,0.0
1.333,5.0
1.667,6.0
2.667,12.0
1.333,5.0
1.333,5.0
2.333,9.0
4.0,27.0
4.0,27.0
1.667,6.0
2.333,9.0
3.0,15.0
3.333,18.0
2.667,12.0
2.0,7.0
1.333,5.0
2.333,9.0
2.0,7.0
2.0,7.0
2.333,9.0
3.333,18.0
1.667,6.0
0.333,2.0
1.667,6.0
1.0,4.0
0.667,3.0
3.0,15.0
2.0,7.0
1.333,5.0
2.333,9.0
1.0,4.0
0.333,2.0
0.667,3.0
1.333,5.0
1.333,5.0
1.0,4.0
0.667,3.0
0.333,2.0
0.0,0.0
0.0,0.0
0.333,2.0
2.0,7.0
3.0,15.0
2.333,9.0
1.667,6.0
1.333,5.0
1.0,4.0
2.667,12.0
2.667,12.0
2.333,9.0
2.667,12.0
2.667,12.0
2.667,12.0
1.0,4.0
0.667,3.0
0.333,2.0
1.667,6.0
2.333,9.0
2.667,12.0
3.333,18.0
1.667,6.0
2.333,9.0
3.0,15.0
2.667,12.0
2.0,7.0
1.0,4.0
2.667,12.0
2.333,9.0
2.667,12.0
1.333,5.0
0.0,0.0
0.333,2.0
2.0,7.0
1.0,4.0
1.0,4.0
2.0,7.0
0.667,3.0
1.667,6.0
1.0,4.0
0.333,2.0
0.667,3.0
1.0,4.0
0.667,3.0
0.667,3.0
1.0,4.0
2.667,12.0
0.0,0.0
2.0,7.0
2.667,12.0
2.0,7.0
1.0,4.0
3.333,18.0
2.333,9.0
1.667,6.0
1.0,4.0
0.667,3.0
0.333,2.0
0.333,2.0
1.0,4.0
1.333,5.0
2.667,12.0
2.333,9.0
3.333,18.0
1.667,6.0
0.333,2.0
0.667,3.0
0.333,2.0
0.0,0.0
0.333,2.0
0.667,3.0
2.0,7.0
1.667,6.0
0.333,2.0
0.333,2.0
1.667,6.0
3.0,15.0
2.667,12.0
1.667,6.0
2.667,12.0
2.667,12.0
0.667,3.0
0.333,2.0
1.0,4.0
0.667,3.0
0.0,0.0
1.0,4.0
0.333,2.0
2.0,7.0
0.333,2.0
1.0,4.0
1.0,4.0
1.333,5.0
1.667,6.0
1.333,5.0
3.0,15.0
3.333,18.0
2.667,12.0
3.333,18.0
2.667,12.0
2.333,9.0
3.667,22.0
3.667,22.0
4.0,27.0
4.0,27.0
3.333,18.0
3.667,22.0
3.0,15.0
3.0,15.0
2.667,12.0
2.667,12.0
3.0,15.0
3.333,18.0
3.0,15.0
4.0,27.0
3.333,18.0
2.667,12.0
3.333,18.0
3.0,15.0
3.0,15.0
4.0,27.0
2.667,12.0
3.0,15.0
2.333,9.0
3.333,18.0
3.333,18.0
4.333,32.0
4.0,27.0
2.667,12.0
2.333,9.0
2.667,12.0
3.0,15.0
2.0,7.0
3.333,18.0
3.667,22.0
3.333,18.0
3.0,15.0
2.0,7.0
2.333,9.0
2.333,9.0
1.0,4.0
1.0,4.0
0.333,2.0
1.667,6.0
2.0,7.0
1.667,6.0
2.0,7.0
1.667,6.0
1.667,6.0
2.333,9.0
2.0,7.0
0.667,3.0
0.0,0.0
0.667,3.0
0.667,3.0
2.0,7.0
1.0,4.0
1.333,5.0
1.0,4.0
2.0,7.0
0.333,2.0
2.333,9.0
2.0,7.0
1.0,4.0
1.333,5.0
0.667,3.0
2.333,9.0
2.667,12.0
3.667,22.0
5.333,56.0
4.333,32.0
3.333,18.0
4.0,27.0
3.333,18.0
4.333,32.0
3.0,15.0
2.667,12.0
5.0,48.0
4.333,32.0
4.333,32.0
4.333,32.0
1.333,5.0
1.333,5.0
1.667,6.0
3.0,15.0
2.0,7.0
1.333,5.0
1.333,5.0
0.667,3.0
1.0,4.0
0.0,0.0
1.0,4.0
2.0,7.0
0.667,3.0
1.333,5.0
2.0,7.0
0.667,3.0
2.333,9.0
2.0,7.0
2.667,12.0
0.667,3.0
1.333,5.0
1.0,4.0
2.0,7.0
1.333,5.0
1.333,5.0
1.333,5.0
0.667,3.0
0.333,2.0
1.667,6.0
3.0,15.0
2.333,9.0
