,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120
MODEM__11_IN_mean5m,-0.3418543,-0.3450008,-0.37538552,-0.41467312,-0.4522485,-0.47738162,-0.4701153,-0.47998336,-0.49115777,-0.47639614,-0.47734112,-0.49856302,-0.48431495,-0.49701115,-0.5009266,-0.5014712,-0.47683287,-0.49142212,-0.43617496,-0.47836787,-0.49575168,-0.4704229,-0.48586908,-0.49205577,-0.50127697,-0.48442695,-0.5186215,-0.4990313,-0.51488876,-0.47317022,-0.537809,-0.4934108,-0.54182404,-0.53562707,-0.4714334,-0.4797861,-0.44173256,-0.4401189,-0.3993081,-0.38978222,-0.32666233,-0.36166668,-0.35483783,-0.31272805,-0.297359,-0.28967977,-0.37619737,-0.36719966,-0.27374047,-0.3231982,-0.3290218,-0.31286138,-0.29277447,-0.27427495,-0.26986423,-0.27049822,-0.26559845,-0.26324102,-0.25822458,-0.2511717,-0.26538658,-0.268281,-0.27746844,-0.28234845,-0.27727783,-0.24319093,-0.2764949,-0.2874836,-0.313519,-0.30839267,-0.31331044,-0.30224442,-0.30892774,-0.2773138,-0.28619042,-0.27944642,-0.29034647,-0.2845432,-0.29503626,-0.30549616,-0.3320523,-0.35783696,-0.37646428,-0.32692233,-0.33564454,-0.3468957,-0.29850394,-0.27912915,-0.24229406,-0.22234045,-0.22631107,-0.24838077,-0.24119082,-0.20286626,-0.20695373,-0.20436344,-0.19453655,-0.23581116,-0.2498952,-0.21297388,-0.23702776,-0.24145456,-0.20377077,-0.19362298,-0.24012746,-0.18815105,-0.24586056,-0.23614106,-0.2476384,-0.32312223,-0.31907418,-0.36659762,-0.35030302,-0.256924,-0.25135353,-0.23193158,-0.20818426,-0.13635466,-0.13607371,-0.14772466,-0.15455605
MODEM__11_OUT_mean5m,-0.6296856,-0.69117385,-0.6867591,-0.76352733,-0.85093075,-0.92052245,-0.8803821,-0.8975168,-0.8344669,-0.8418713,-0.837957,-0.83407426,-0.83399236,-0.83687013,-0.83942,-0.86397594,-0.86858433,-0.8853051,-0.85972536,-0.85632706,-0.8649013,-0.8346345,-0.8534999,-0.850882,-0.8536677,-0.80414,-0.80354995,-0.79599386,-0.8261484,-0.79673076,-0.8271529,-0.8121773,-0.81948876,-0.8376907,-0.78810745,-0.7741143,-0.73456395,-0.8069077,-0.74612725,-0.7408005,-0.6907711,-0.7299931,-0.9375445,-1.0084143,-1.2009399,-1.1585466,-1.0619986,-0.9511368,-0.8260434,-0.5852598,-0.5370343,-0.6498146,-0.5800229,-0.59350735,-0.5585222,-0.69122344,-0.63152945,-0.8105707,-0.7305109,-0.8647311,-0.7880716,-0.8862989,-0.9066732,-0.8751574,-1.0833006,-1.1000509,-1.0721878,-1.0029103,-1.0253384,-1.0603048,-1.1326622,-1.1754017,-1.2110968,-1.193511,-1.1603239,-1.1708279,-1.1895843,-1.1437927,-1.0948167,-1.1771092,-1.1697859,-0.89677984,-0.71438605,-0.49562305,-0.47080538,-0.5336453,-0.51441586,-0.46961397,-0.5540896,-0.49290574,-0.5428615,-0.5204532,-0.56065637,-0.516219,-0.5039829,-0.55858326,-0.48588365,-0.5679413,-0.5913865,-0.5896457,-0.6022271,-0.5979309,-0.51222384,-0.5090204,-0.48287678,-0.43668544,-0.48911875,-0.4578442,-0.5706054,-0.83932406,-0.94576937,-0.89626384,-0.90915775,-0.75104374,-0.78136116,-0.7442975,-0.76318735,-0.77399665,-0.79397315,-0.71102375,-0.7133447
MODEM__14_IN_mean5m,-0.5352257,-0.5454869,-0.5673024,-0.6196378,-0.586256,-0.55559915,-0.61065465,-0.56094754,-0.5257511,-0.5749536,-0.5366504,-0.5586174,-0.5620348,-0.5372112,-0.5430863,-0.5293648,-0.53134507,-0.52713126,-0.54482394,-0.546471,-0.5596686,-0.5723527,-0.60574204,-0.5966041,-0.58313346,-0.5933842,-0.5882088,-0.58765316,-0.5909453,-0.55397046,-0.5719774,-0.58332473,-0.5901727,-0.58159393,-0.5140736,-0.5030048,-0.5233008,-0.45640337,-0.49986538,-0.4794758,-0.43352136,-0.44574088,-0.42631304,-0.3013814,-0.3021598,-0.28857598,-0.28630322,-0.3011289,-0.35518092,-0.36997956,-0.33375785,-0.3333791,-0.35586205,-0.32031623,-0.31028104,-0.28103322,-0.29376262,-0.3173636,-0.34717628,-0.34546986,-0.3533013,-0.3328976,-0.33950105,-0.3274761,-0.32880574,-0.34287992,-0.34224412,-0.38557053,-0.33113554,-0.36183614,-0.41483346,-0.35522863,-0.40173092,-0.4129149,-0.41132852,-0.3051051,-0.29416642,-0.29333368,-0.3031433,-0.3685258,-0.41451976,-0.3852834,-0.3637938,-0.3741982,-0.39760518,-0.415581,-0.41108957,-0.40737468,-0.40404388,-0.39215735,-0.4032809,-0.37655124,-0.32283598,-0.34314394,-0.34935057,-0.33477935,-0.34228387,-0.36242,-0.35815153,-0.3465316,-0.3578533,-0.2813054,-0.2829901,-0.26829433,-0.2709129,-0.26360014,-0.26762295,-0.28182262,-0.3338546,-0.26589128,-0.28033602,-0.26880395,-0.21377248,-0.11299427,-0.15390572,-0.15805608,-0.14525726,-0.2114529,-0.25030562,-0.26740107,-0.2933419
MODEM__14_OUT_mean5m,-0.31986555,-0.299359,-0.27021813,-0.21355267,-0.12469735,-0.21467352,-0.309863,-0.30200034,-0.28293088,-0.31115526,-0.3084785,-0.30734247,-0.31055388,-0.3104115,-0.30479965,-0.33553872,-0.36496806,-0.36502442,-0.3622117,-0.366381,-0.36690328,-0.365583,-0.36541703,-0.38769466,-0.39014202,-0.39867166,-0.4028574,-0.42004716,-0.42509922,-0.41897932,-0.41300833,-0.42111224,-0.42498955,-0.44152382,-0.39992675,-0.40027192,-0.41274264,-0.42463946,-0.42372793,-0.42784867,-0.39235768,-0.40493885,-0.36207902,-0.4076953,-0.52103263,-0.5770377,-0.47626114,-0.49345917,-0.3530542,-0.28527474,-0.18782993,-0.17785631,-0.036265023,0.18887532,0.24455798,0.36979267,0.33724403,0.3252663,0.44051355,0.44112945,0.4828037,0.4073166,0.38563713,0.41751212,0.47021145,0.49483973,0.6468437,0.7229162,0.6630913,0.7392277,0.8545029,0.77491564,0.9344705,0.93177587,0.88622695,0.9211074,0.8738033,0.87132645,0.7492929,0.7469456,0.6696127,0.5504167,0.406618,0.3248462,0.2824694,0.29839897,0.3180192,0.2836233,0.28418803,0.26795375,0.29522792,0.39922297,0.5782961,0.72821784,0.768986,0.9198083,1.0180038,1.006959,1.0083457,1.1020707,1.089191,1.3033526,1.30149,1.6136131,1.796962,2.0266402,2.2881548,1.478097,0.8747888,0.7899834,0.7459082,0.7984704,0.7886358,1.7928263,1.7043537,1.602478,1.3783785,1.1626885,1.0698435,0.9175274,0.87912166
MODEM__16_IN_mean5m,-0.15555725,-0.16532843,-0.17151003,-0.1453802,-0.15742403,-0.13992964,-0.14089622,-0.16459513,-0.13976882,-0.13070425,-0.12678637,-0.12696964,-0.13314612,-0.13846031,-0.150269,-0.15153761,-0.15574506,-0.14571549,-0.15069501,-0.15015563,-0.13472703,-0.13684656,-0.13081694,-0.1286297,-0.11974512,-0.112137504,-0.11302236,-0.114047885,-0.12231046,-0.123146124,-0.109889045,-0.12149193,-0.119756974,-0.122450165,-0.131936,-0.13458303,-0.11511684,-0.117118046,-0.12264736,-0.1478153,-0.1378795,-0.15085724,-0.15867022,-0.15338394,-0.16743873,-0.17524421,-0.18458976,-0.17296448,-0.15570486,-0.20568082,-0.16383526,-0.13828054,-0.18935503,-0.20202123,-0.27875093,-0.26267746,-0.29913655,-0.28259403,-0.3530861,-0.31575486,-0.31412765,-0.3064507,-0.3276937,-0.33301324,-0.31966376,-0.309135,-0.32068703,-0.32568094,-0.3384527,-0.34724686,-0.2813159,-0.35443184,-0.35238457,-0.35688102,-0.3752924,-0.20106356,-0.1661408,-0.1599598,-0.16062467,-0.15988392,-0.09462582,-0.10390683,-0.08528538,0.32027778,0.33744285,0.33814073,0.3633743,0.31831908,0.26718482,0.27993143,0.2853526,0.35744658,0.36001837,0.35515654,0.42287543,0.428634,0.39499906,0.41308635,0.35402912,0.39767587,0.43394074,0.40300927,0.44406992,0.4408339,0.45192528,0.42947415,0.4332174,0.41149476,0.40354896,-0.020879013,-0.16428863,-0.11610974,-0.08525191,-0.051419612,-0.063546255,-0.07827526,-0.077891946,-0.022091677,0.004811402,0.03806768,-0.009685317
MODEM__16_OUT_mean5m,-0.0041621365,-0.009827837,-0.08871774,-0.118591785,-0.11810168,-0.13742337,-0.11991545,-0.12259321,-0.016023306,-0.027225243,-0.014552309,-0.011209715,-0.0044228644,0.047633324,0.046667982,0.056794483,0.060674507,0.057788294,0.053914405,0.05407667,0.051489826,0.059794653,0.060354028,0.059583865,0.060993742,0.08613113,0.09560585,0.12026539,0.10865371,0.122439645,0.109833285,0.13648194,0.14470355,0.14236066,0.11186492,0.04687919,0.08660709,0.03605288,0.048669152,-0.018587256,-0.10202391,-0.105157055,-0.17812239,-0.17467205,-0.19035189,-0.17473829,-0.37472317,-0.36721623,-0.3006762,-0.33213362,-0.27092394,-0.3360278,-0.3296297,-0.28377828,-0.22628628,-0.2475322,-0.23214729,-0.17980425,-0.32028693,-0.35104364,-0.31616285,-0.32601082,-0.3549766,-0.35561123,-0.37236488,-0.37732705,-0.3430964,-0.3087044,-0.3212909,-0.29531237,-0.2742046,-0.3409044,-0.30413526,-0.2662895,-0.27479857,-0.51085925,-0.5055307,-0.49040526,-0.5221436,-0.5147827,-0.5701921,-0.58201003,-0.60894173,-0.7624418,-0.76487315,-0.7681037,-0.733267,-0.6347459,-0.6201449,-0.5881697,-0.6290617,-0.635733,-0.7317496,-0.6863474,-0.7342559,-0.7010848,-0.7130648,-0.7391432,-0.69860935,-0.710936,-0.6919682,-0.68046504,-0.6369115,-0.64131117,-0.56782436,-0.53790134,-0.5612859,-0.71455085,-0.77466166,-0.66372603,-0.4057785,-0.40980405,-0.22974302,0.018734714,0.1950116,0.17483838,0.3210914,0.3362502,0.27736974,0.2463645,0.2505091
MODEM__11_IN_std5m,-0.12069862,-0.11769987,-0.124631554,-0.13535932,-0.11618907,-0.097855434,-0.12348618,-0.13536859,-0.12580644,-0.13372576,-0.10489969,-0.14148897,-0.11575563,-0.11846796,-0.12981272,-0.14130403,-0.12783246,-0.16006874,-0.12954956,-0.13174212,-0.15213518,-0.1275493,-0.1382763,-0.13798931,-0.15549873,-0.1414017,-0.15140419,-0.13752282,-0.14127393,-0.14750966,-0.15030041,-0.13548966,-0.13673586,-0.2044932,0.30841252,0.30681092,0.18856685,0.16123623,0.1722666,0.15365349,0.12322405,0.2794042,0.2585079,0.4332161,0.40645567,0.38545382,0.39972195,0.38411582,0.24085693,0.24701117,0.22907779,0.23027925,0.2389647,0.2253692,0.22450379,0.27474162,0.27600038,-0.16643886,-0.20293655,-0.20615144,-0.19491619,-0.18554866,-0.19673537,-0.18977912,-0.16551064,-0.18704093,-0.16439876,-0.17484899,-0.20652847,-0.19785076,-0.106918044,-0.19268635,-0.18640871,-0.12627082,-0.14919044,-0.11791262,-0.16760945,-0.10345366,-0.12442896,-0.10480098,-0.122453414,-0.11818107,-0.11971061,-0.077440046,-0.10507284,-0.10517937,-0.11295924,-0.09905187,-0.09611479,-0.093095474,-0.08730703,-0.0956304,-0.09157312,-0.089075126,-0.09066344,-0.09047638,-0.079565786,-0.10427776,-0.2155489,-0.08141896,-0.14336768,-0.16262892,-0.09685848,-0.081151046,-0.14689837,-0.0813636,-0.14098167,-0.08198534,-0.06811636,-0.0654443,-0.087836415,-0.09855788,-0.09347028,-0.046082795,-0.07664908,-0.055816308,-0.084193565,-0.09292919,-0.094490856,-0.09227159,-0.071806
MODEM__11_OUT_std5m,0.2037425,0.18704775,0.18189731,0.20643988,0.13885024,0.051384497,-0.013038864,-0.035164423,-0.035031833,-0.03227223,-0.028971395,-0.04192712,-0.032434367,-0.03176303,-0.033010866,-0.03621636,-0.032082316,-0.034874942,-0.027552813,-0.020861842,-0.016803218,-0.011426268,-0.015195212,-0.016719231,-0.029700818,-0.010435589,-0.0068331673,-0.0024655815,-0.019854331,-0.016460182,-0.017582357,-0.00609433,-0.012850931,-0.021060402,-0.09106277,-0.087532885,0.015208023,-0.019217834,-0.010536723,-0.03262584,-0.034948144,0.01880371,0.06480245,-0.016924147,-0.0017234273,0.029553166,0.022800948,0.09462505,0.2525811,0.38100636,0.39041004,0.3937302,0.38634148,0.38812038,0.34767124,0.309671,0.047980838,-0.07823774,-0.13020402,-0.15420443,-0.16685583,-0.18223096,-0.18417263,-0.17609651,-0.1685221,-0.17083856,-0.1343289,-0.14045313,-0.102720916,-0.1175353,-0.10311307,-0.10584445,-0.11986811,-0.10505523,-0.09979839,-0.100976504,-0.0919819,-0.08724682,-0.08727953,-0.0736601,-0.05684382,-0.046724085,-0.010614863,-0.016098727,-0.022341514,0.012051553,-0.004200293,-0.03530665,-0.0004762855,-0.01350934,-0.014937126,-0.04717718,-0.085146904,-0.114245266,-0.14519757,-0.12453142,-0.07774092,0.039558925,0.03597302,0.046444714,0.026570795,0.033073805,0.03764701,0.029096663,0.008123231,0.011794471,-0.01436914,-0.06619988,-0.08242381,-0.08382251,-0.065677844,-0.07397916,-0.084265746,-0.019772202,0.003341015,-0.015272369,0.011900329,0.00831327,0.025754051,0.0014604632,-0.007851322
MODEM__14_IN_std5m,-0.1414702,-0.16459168,-0.17720032,-0.17760827,-0.16138363,-0.12287294,-0.11195324,-0.09129563,-0.10601628,-0.07927255,-0.08803935,-0.08438106,-0.0889781,-0.080702305,-0.0898318,-0.09155759,-0.0765897,-0.080314785,-0.08588998,-0.072539866,-0.05987021,-0.06528382,-0.098545186,-0.10062751,-0.052611686,-0.12750193,-0.12864009,-0.107062966,-0.09617984,-0.0993798,-0.053059425,-0.04868991,-0.09578507,-0.07086097,-0.07372321,-0.07411969,-0.08379484,-0.08957395,-0.09845672,-0.12530649,-0.14139429,-0.14887631,-0.122199915,-0.113710515,-0.116599426,-0.11941458,-0.10306773,-0.11084683,-0.06994454,-0.0693952,-0.06290402,-0.08381288,-0.08459377,-0.082489274,-0.10664979,-0.09764293,-0.10716624,-0.1277319,-0.09956018,-0.1119599,-0.113087706,-0.1141264,-0.117024936,-0.119108185,-0.13089344,-0.14298439,-0.11031846,-0.12932755,-0.12946814,-0.12484092,-0.15777057,-0.1250362,-0.14864843,-0.14390038,-0.14699864,-0.14225191,-0.1421661,-0.12638669,-0.12669171,-0.1881164,-0.08039131,-0.080088295,-0.056257498,-0.06690499,-0.041865945,-0.044360407,-0.042227093,-0.04975243,-0.04404537,-0.04611227,-0.040013336,-0.033958737,-0.098508544,-0.08671228,-0.07842292,-0.08659036,0.00070709275,-0.016910411,-0.019939262,-0.022554353,-0.025529891,-0.0036045345,-0.016370371,0.0042530885,0.024830643,0.029343382,0.017658245,-0.06720276,-0.11388089,-0.18937366,-0.3340458,-0.53500724,-0.5330957,-0.5497102,-0.65437984,-0.57377046,-0.5511947,-0.24626963,-0.24197102,-0.22766982,-0.13701603
MODEM__14_OUT_std5m,-0.1762465,-0.34779835,-0.38755286,-0.48748982,-0.5505216,-0.5563153,-0.5818793,-0.59826225,-0.5614062,-0.61491936,-0.65612686,-0.60632426,-0.61124307,-0.65608424,-0.6101428,-0.62102604,-0.6392636,-0.64285874,-0.6313809,-0.64938843,-0.6490113,-0.6174211,-0.64955413,-0.65245855,-0.66599923,-0.688364,-0.71245587,-0.69496965,-0.73980045,-0.7029864,-0.7370607,-0.7475445,-0.76624155,-0.7852586,-0.6667532,-0.64532894,-0.67770845,-0.6815785,-0.68602955,-0.6667326,-0.49133295,-0.5631602,-0.4685497,0.012819965,0.3979352,0.556758,0.99957234,1.5258247,2.2158387,2.4342196,2.4651847,2.2183204,2.4703279,2.2356036,2.366528,2.1797624,2.076063,1.7936141,1.9941149,1.8326457,1.9482791,1.7374729,1.6491239,1.6256094,1.3003143,1.280337,1.173614,1.2948606,1.1779052,1.0286374,0.8788939,0.62070787,0.6541497,0.7960073,0.79993576,0.8035705,0.7114895,0.54844284,0.4382454,0.2657455,0.15682183,0.091589905,0.006317249,-0.12617838,-0.2115984,-0.21356112,-0.22445889,-0.26036105,-0.23489915,-0.24098879,-0.19757701,-0.039237995,0.08404463,0.3380701,0.3814241,0.5315148,0.5708912,0.65856296,0.65719324,0.6409759,0.6635572,0.6764659,0.6688337,0.5877394,0.62325424,0.58053654,0.4826422,0.36830184,0.09914148,0.06376427,0.07877444,0.18155873,0.19525367,0.43138346,0.48383558,0.46594393,0.4490978,0.47722378,0.4435385,0.47841883,0.63468695
